700000,27000,36000,2070000,4500,4500000,17000000
630000,30000,34000,160000,4900,1400000,13200000
810000,28000,40000,690000,5000,3000000,9700000
720000,23000,32000,850000,5800,4700000,18600000
720000,23000,32000,850000,5800,4700000,18600000
810000,28000,40000,690000,5000,3000000,9700000
620000,32000,16000,700000,4500,3000000,13600000
700000,27000,36000,2070000,4500,4500000,17000000
630000,30000,34000,160000,4900,1400000,13200000
810000,22000,43000,150000,4400,2800000,12900000
810000,27000,41000,145000,3300,1100000,6300000
860000,23000,40000,420000,3500,1700000,10900000
790000,18000,37000,120000,4000,1600000,7500000
660000,16000,40000,150000,4400,4800000,14300000
830000,42000,62000,1925000,4000,4100000,17200000
660000,17000,38000,150000,3200,2800000,11200000
630000,48000,4000,110000,4600,3000000,9900000
620000,66000,48000,120000,2900,2900000,7500000
740000,34000,42000,110000,3300,1700000,17100000
650000,31000,14000,750000,4400,3400000,13300000
620000,66000,48000,120000,2900,2900000,7500000
640000,31000,38000,290000,3800,1900000,10200000
680000,26000,42000,170000,4900,4100000,12200000
760000,67000,14000,150000,7400,2500000,16800000
660000,27000,41000,130000,5200,1600000,14200000
700000,25000,32000,900000,4600,5600000,24500000
690000,24000,35000,100000,5200,3500000,14600000
700000,28000,39000,869999,5100,3200000,14100000
740000,27000,48000,110000,4700,1700000,13200000
720000,32000,36000,200000,3300,3700000,11400000
850000,24000,39000,1040000,4400,2000000,14200000
830000,14000,34000,110000,4200,700000,4700000
740000,25000,36000,204999,5000,3100000,10000000
620000,12000,34000,150000,4500,4300000,11700000
580000,27000,20000,1495000,4400,2200000,17900000
730000,28000,43000,170000,8000,2100000,12300000
650000,39000,23000,540000,5100,2500000,14900000
700000,33000,32000,120000,5300,3800000,13800000
730000,24000,39000,1795000,5700,4500000,14900000
730000,24000,39000,1795000,5700,4500000,14900000
670000,23000,39000,250000,17200,6300000,15800000
670000,24000,39000,290000,17300,6300000,15700000
700000,31000,26000,740000,6900,2800000,16000000
660000,24000,27000,140000,5700,3300000,15200000
670000,23000,26000,140000,6000,3300000,15400000
740000,18000,31000,140000,5800,3800000,16700000
620000,45000,26000,440000,6300,6300000,20600000
620000,46000,25000,440000,6600,6200000,20700000
700000,31000,26000,740000,6900,2800000,16000000
690000,19000,35000,500000,6700,3200000,15000000
720000,19000,31000,160000,6200,3100000,17300000
660000,25000,28999,110000,6800,3900000,12400000
620000,16000,33000,110000,5700,2100000,8200000
640000,18000,35000,100000,4500,3900000,10800000
680000,20000,59000,90000,14700,3800000,13200000
690000,25000,35000,130000,3900,2900000,19100000
