7.0,0.27
6.3,0.3
8.1,0.28
7.2,0.23
7.2,0.23
8.1,0.28
6.2,0.32
7.0,0.27
6.3,0.3
8.1,0.22
8.1,0.27
8.6,0.23
7.9,0.18
6.6,0.16
8.3,0.42
6.6,0.17
6.3,0.48
6.2,0.66
7.4,0.34
6.5,0.31
6.2,0.66
6.4,0.31
6.8,0.26
7.6,0.67
6.6,0.27
7.0,0.25
6.9,0.24
7.0,0.28
7.4,0.27
7.2,0.32
8.5,0.24
8.3,0.14
7.4,0.25
6.2,0.12
5.8,0.27
7.3,0.28
6.5,0.39
7.0,0.33
7.3,0.24
7.3,0.24
6.7,0.23
6.7,0.24
7.0,0.31
6.6,0.24
6.7,0.23
7.4,0.18
6.2,0.45
6.2,0.46
7.0,0.31
6.9,0.19
7.2,0.19
6.6,0.25
6.2,0.16
6.4,0.18
6.8,0.2
6.9,0.25
7.2,0.21
6.0,0.19
6.6,0.38
7.4,0.2
6.8,0.22
6.0,0.19
7.0,0.47
6.6,0.38
7.2,0.24
6.2,0.35
6.4,0.26
6.7,0.25
6.7,0.23
7.4,0.24
6.2,0.27
6.8,0.3
6.0,0.27
8.6,0.23
6.7,0.23
7.4,0.24
7.1,0.18
7.0,0.32
7.4,0.18
6.7,0.54
6.8,0.22
7.1,0.2
7.1,0.34
7.3,0.22
7.1,0.43
7.1,0.44
7.2,0.39
6.8,0.25
7.1,0.43
7.1,0.44
7.2,0.39
6.1,0.27
6.9,0.24
6.9,0.21
7.5,0.17
7.1,0.26
6.0,0.34
8.6,0.265
9.8,0.36
6.0,0.34
