7.000000000000000000e+00,2.700000000000000178e-01,3.599999999999999867e-01,2.069999999999999929e+01,4.499999999999999833e-02
6300,300,340,1600,49
8100,280,400,6900,50
7200,230,320,8500,58
7200,230,320,8500,58
8100,280,400,6900,50
6200,320,160,7000,45
7000,270,360,20700,45
6300,300,340,1600,49
8100,220,430,1500,44
8100,270,410,1450,33
8600,230,400,4200,35
7900,180,370,1200,40
6600,160,400,1500,44
8300,420,620,19250,40
6600,170,380,1500,32
6300,480,40,1100,46
6200,660,480,1200,29
7400,340,420,1100,33
6500,310,140,7500,44
6200,660,480,1200,29
6400,310,380,2900,38
6800,260,420,1700,49
7600,670,140,1500,74
6600,270,410,1300,52
7000,250,320,9000,46
6900,240,350,1000,52
7000,280,390,8700,51
7400,270,480,1100,47
7200,320,360,2000,33
8500,240,390,10400,44
8300,140,340,1100,42
7400,250,360,2050,50
6200,120,340,1500,45
5800,270,200,14950,44
7300,280,430,1700,80
6500,390,230,5400,51
7000,330,320,1200,53
7300,240,390,17950,57
7300,240,390,17950,57
6700,230,390,2500,172
6700,240,390,2900,173
7000,310,260,7400,69
6600,240,270,1400,57
6700,230,260,1400,60
7400,180,310,1400,58
6200,450,260,4400,63
6200,460,250,4400,66
7000,310,260,7400,69
6900,190,350,5000,67
7200,190,310,1600,62
6600,250,290,1100,68
6200,160,330,1100,57
6400,180,350,1000,45
6800,200,590,900,147
6900,250,350,1300,39
7200,210,340,11900,43
6000,190,260,12400,48
6600,380,150,4600,44
7400,200,360,1200,38
6800,220,240,4900,92
6000,190,260,12400,48
7000,470,70,1100,35
6600,380,150,4600,44
7200,240,270,1400,38
6200,350,30,1200,64
6400,260,240,6400,40
6700,250,130,1200,41
6700,230,310,2100,46
7400,240,290,10100,50
6200,270,430,7800,56
6800,300,230,4600,61
6000,270,280,4800,63
8600,230,460,1000,54
6700,230,310,2100,46
7400,240,290,10100,50
7100,180,360,1400,43
7000,320,340,1300,42
7400,180,300,8800,64
6700,540,280,5400,60
6800,220,310,1400,53
7100,200,340,16000,50
7100,340,200,6100,63
7300,220,300,8200,47
7100,430,610,11800,45
7100,440,620,11800,44
7200,390,630,11000,44
6800,250,310,13300,50
7100,430,610,11800,45
7100,440,620,11800,44
7200,390,630,11000,44
6100,270,430,7500,49
6900,240,330,1700,35
6900,210,330,1800,34
7500,170,320,1700,40
7100,260,290,12400,44
6000,340,660,15900,46
8600,265,360,1200,34
9800,360,460,10500,38
6000,340,660,15900,46
7400,250,370,13500,60
7100,120,320,9600,54
6000,210,240,12100,50
7500,305,400,18900,59
7400,250,370,13500,60
7300,130,320,14400,51
7100,120,320,9600,54
7100,230,350,16500,40
7100,230,350,16500,40
6900,330,280,1300,51
6500,170,540,8500,82
7200,270,460,18750,52
7200,310,500,13300,56
6700,410,340,9200,49
6700,410,340,9200,49
5500,485,1,1500,65
6000,310,240,3300,41
7000,140,400,1700,35
7200,310,500,13300,56
7300,320,480,13300,60
5900,360,40,5700,46
7800,240,320,12200,54
7400,160,310,6850,59
6900,190,280,5000,58
6400,130,470,1600,92
6700,190,360,1100,26
7400,390,230,7000,33
6500,240,320,7600,38
6100,300,560,2800,44
6100,300,560,2700,46
5700,260,250,10400,20
6500,240,320,7600,38
6500,425,400,13100,38
6600,240,270,15800,35
6800,270,220,8100,34
6700,270,310,15700,36
8200,230,400,1200,27
7100,370,670,10500,45
6800,190,360,1900,35
8100,280,390,1900,29
6300,310,340,2200,45
7100,370,670,10500,45
7900,210,400,1200,39
8500,210,410,4300,36
8100,200,400,2000,37
6300,255,370,1100,40
5600,160,270,1400,44
6400,595,140,5200,58
6300,340,330,4600,34
6900,250,300,4100,54
7900,220,380,8000,43
7600,180,460,10200,55
6900,250,300,4100,54
7200,180,410,1200,48
8200,230,400,7500,49
7400,240,420,14000,66
7400,240,420,14000,66
6100,320,240,1500,36
5200,440,40,1400,36
5200,440,40,1400,36
6100,320,240,1500,36
6400,220,560,14500,55
