7.000000000000000000e+00,2.700000000000000178e-01,3.599999999999999867e-01,2.069999999999999929e+01,4.499999999999999833e-02,4.500000000000000000e+01,1.700000000000000000e+02,1.000999999999999890e+00,3.000000000000000000e+00,4.500000000000000111e-01
6300,300,340,1600,49,14000,132000,994,3300,490
8100,280,400,6900,50,30000,97000,995,3260,440
7200,230,320,8500,58,47000,186000,996,3190,400
7200,230,320,8500,58,47000,186000,996,3190,400
8100,280,400,6900,50,30000,97000,995,3260,440
6200,320,160,7000,45,30000,136000,995,3180,470
7000,270,360,20700,45,45000,170000,1000,3000,450
6300,300,340,1600,49,14000,132000,994,3300,490
8100,220,430,1500,44,28000,129000,994,3220,450
8100,270,410,1450,33,11000,63000,991,2990,560
8600,230,400,4200,35,17000,109000,995,3140,530
7900,180,370,1200,40,16000,75000,992,3180,630
6600,160,400,1500,44,48000,143000,991,3540,520
8300,420,620,19250,40,41000,172000,1000,2980,670
6600,170,380,1500,32,28000,112000,991,3250,550
6300,480,40,1100,46,30000,99000,993,3240,360
6200,660,480,1200,29,29000,75000,989,3330,390
7400,340,420,1100,33,17000,171000,992,3120,530
6500,310,140,7500,44,34000,133000,996,3220,500
6200,660,480,1200,29,29000,75000,989,3330,390
6400,310,380,2900,38,19000,102000,991,3170,350
6800,260,420,1700,49,41000,122000,993,3470,480
7600,670,140,1500,74,25000,168000,994,3050,510
6600,270,410,1300,52,16000,142000,995,3420,470
7000,250,320,9000,46,56000,245000,996,3250,500
6900,240,350,1000,52,35000,146000,993,3450,440
7000,280,390,8700,51,32000,141000,996,3380,530
7400,270,480,1100,47,17000,132000,991,3190,490
7200,320,360,2000,33,37000,114000,991,3100,710
8500,240,390,10400,44,20000,142000,997,3200,530
8300,140,340,1100,42,7000,47000,993,3470,400
7400,250,360,2050,50,31000,100000,992,3190,440
6200,120,340,1500,45,43000,117000,994,3420,510
5800,270,200,14950,44,22000,179000,996,3370,370
7300,280,430,1700,80,21000,123000,991,3190,420
6500,390,230,5400,51,25000,149000,993,3240,350
7000,330,320,1200,53,38000,138000,991,3130,280
7300,240,390,17950,57,45000,149000,1000,3210,360
7300,240,390,17950,57,45000,149000,1000,3210,360
6700,230,390,2500,172,63000,158000,994,3110,360
6700,240,390,2900,173,63000,157000,994,3100,340
7000,310,260,7400,69,28000,160000,995,3130,460
6600,240,270,1400,57,33000,152000,993,3220,560
6700,230,260,1400,60,33000,154000,993,3240,560
7400,180,310,1400,58,38000,167000,993,3160,530
6200,450,260,4400,63,63000,206000,994,3270,520
6200,460,250,4400,66,62000,207000,994,3250,520
7000,310,260,7400,69,28000,160000,995,3130,460
6900,190,350,5000,67,32000,150000,995,3360,480
7200,190,310,1600,62,31000,173000,992,3350,440
6600,250,290,1100,68,39000,124000,991,3340,580
6200,160,330,1100,57,21000,82000,991,3320,460
6400,180,350,1000,45,39000,108000,991,3310,350
6800,200,590,900,147,38000,132000,993,3050,380
6900,250,350,1300,39,29000,191000,991,3130,520
7200,210,340,11900,43,37000,213000,996,3090,500
6000,190,260,12400,48,50000,147000,997,3300,360
6600,380,150,4600,44,25000,78000,993,3110,380
7400,200,360,1200,38,44000,111000,993,3360,340
6800,220,240,4900,92,30000,123000,995,3030,460
6000,190,260,12400,48,50000,147000,997,3300,360
7000,470,70,1100,35,17000,151000,991,3020,340
6600,380,150,4600,44,25000,78000,993,3110,380
7200,240,270,1400,38,31000,122000,993,3150,460
6200,350,30,1200,64,29000,120000,993,3220,540
6400,260,240,6400,40,27000,124000,990,3220,490
6700,250,130,1200,41,81000,174000,992,3140,420
6700,230,310,2100,46,30000,96000,993,3330,640
7400,240,290,10100,50,21000,105000,996,3130,350
6200,270,430,7800,56,48000,244000,996,3100,510
6800,300,230,4600,61,50500,238500,996,3320,600
6000,270,280,4800,63,31000,201000,996,3690,710
8600,230,460,1000,54,9000,72000,994,2950,490
6700,230,310,2100,46,30000,96000,993,3330,640
7400,240,290,10100,50,21000,105000,996,3130,350
